ORF,Observed Expression,Protein Molecules/Cell,Standard Deviation,CEC,Spurious
YMR020W,TAP,6.96E+03,-,0.74,0
YMR021C,Both,1.48E+04,-,0.63,0
YMR022W,Both,2.10E+03,-,0.51,0
YMR023C,Both,7.68E+02,-,0.69,0
YMR024W,Both,3.00E+02,-,0.62,0
YMR025W,None,-,-,0.6,0
YMR026C,Both,9.07E+02,-,0.33,0
YMR027W,Both,6.19E+03,-,0.79,0
YMR028W,None,-,-,0.72,0
YMR029C,Both,4.01E+03,-,0.78,0
YMR030W,GFP,-,-,0.6,0
YMR031C,Both,5.57E+03,-,0.84,0
YMR031W-A,None,-,-,0.31,0
YMR032W,Both,1.95E+02,-,0.74,0
YMR033W,TAP,1.79E+03,-,0.81,0
YMR034C,None,-,-,0.38,0
YMR035W,None,-,-,0.17,0
YMR036C,Both,%,-,0.52,0
YMR037C,Both,1.25E+02,-,0.46,0
YMR038C,Both,1.20E+04,-,0.48,0
YMR039C,Both,7.82E+03,-,0.8,0
YMR040W,None,-,-,0.2,0
YMR041C,None,-,-,0.72,0
YMR042W,GFP,-,-,0.23,0
YMR043W,Both,8.97E+03,-,0.34,0
YMR044W,Both,5.82E+03,-,0.69,0
YMR046W-A,None,-,-,0.13,1
YMR047C,GFP,-,-,0.46,0
YMR048W,Both,3.58E+02,-,0.68,0
YMR049C,Both,2.68E+03,-,0.87,0
YMR052C-A,None,-,-,0.07,1
YMR052W,Both,1.54E+03,-,0.57,0
YMR053C,TAP,%,-,0.72,0
YMR054W,Both,1.08E+03,-,0.8,0
YMR055C,GFP,-,-,0.18,0
YMR056C,GFP,-,-,0.36,0
YMR057C,None,-,-,-0.21,1
YMR058W,Both,1.05E+03,-,0.59,0
YMR059W,GFP,-,-,0.23,0
YMR060C,Both,1.58E+03,-,0.6,0
YMR061W,Both,5.35E+03,1.57E+02,0.73,0
YMR062C,GFP,-,-,0.72,0
YMR063W,None,-,-,0.14,0
YMR064W,Both,5.04E+02,-,0.58,0
YMR065W,None,-,-,0.57,0
YMR066W,Both,3.96E+02,-,0.68,0
YMR067C,Both,3.57E+03,-,0.7,0
YMR068W,TAP,1.18E+03,-,0.33,0
YMR069W,Both,%,-,0.03,0
YMR070W,Both,1.69E+03,-,0.27,0
YMR071C,Both,#,-,0.18,0
YMR072W,Both,3.81E+03,-,0.64,0
YMR073C,Both,4.50E+02,-,0.38,0
YMR074C,Both,2.55E+03,-,0.76,0
YMR075C-A,None,-,-,0.2,1
YMR075W,Both,4.86E+02,-,0.65,0
YMR076C,Both,7.72E+03,-,0.84,0
YMR077C,Both,9.37E+02,-,0.63,0
YMR078C,Both,%,-,0.81,0
YMR079W,Both,8.43E+04,-,0.8,0
YMR080C,Both,6.09E+03,-,0.84,0
YMR081C,None,-,-,0.32,0
YMR082C,None,-,-,0.08,1
YMR083W,Both,1.16E+04,-,0.69,0
YMR084W,None,-,-,0.64,0
YMR085W,None,-,-,0.61,0
YMR086C-A,None,-,-,-0.1,1
YMR086W,Both,%,-,0.69,0
YMR087W,None,-,-,0.33,0
YMR088C,None,-,-,0.47,0
YMR089C,Both,1.15E+04,-,0.88,0
YMR090W,Both,7.04E+02,-,0.71,0
YMR091C,Both,3.51E+03,-,0.74,0
YMR092C,Both,1.11E+04,-,0.75,0
YMR093W,Both,3.58E+02,-,0.74,0
YMR094W,None,-,-,0.53,0
YMR095C,Both,%,-,0.59,0
YMR096W,TAP,#,-,0.73,0
YMR097C,Both,1.63E+03,-,0.52,0
YMR098C,Both,2.43E+03,-,0.74,0
YMR099C,Both,8.58E+03,-,0.74,0
YMR100W,TAP,1.25E+02,-,0.64,0
YMR101C,None,-,-,0.54,0
YMR102C,Both,5.38E+02,-,0.68,0
YMR103C,None,-,-,-0.02,1
YMR104C,Both,1.31E+03,-,0.68,0
YMR105C,Both,3.79E+03,-,0.73,0
YMR106C,Both,3.58E+02,-,0.68,0
YMR107W,TAP,2.59E+02,-,0.41,0
YMR108W,Both,3.19E+04,-,0.71,0
YMR109W,Both,2.28E+03,-,0.84,0
YMR110C,Both,2.93E+03,-,0.77,0
YMR111C,Both,2.38E+02,-,0.66,0
YMR112C,Both,3.96E+02,-,0.51,0
YMR113W,Both,2.34E+03,-,0.62,0
YMR114C,Both,%,-,0.66,0
YMR115W,Both,8.97E+03,-,0.74,0
YMR116C,TAP,3.33E+05,-,0.59,0
YMR117C,Both,1.75E+03,-,0.65,0
YMR118C,None,-,-,0.32,0
YMR119W,GFP,-,-,0.6,0
YMR119W-A,None,-,-,0.2,1
YMR120C,Both,6.09E+04,-,0.77,0
YMR121C,Both,7.21E+02,-,0.48,0
YMR122C,None,-,-,-0.06,1
YMR122W-A,Both,4.95E+04,-,0.3,0
YMR123W,Both,5.75E+03,-,0.33,0
YMR124W,Both,1.66E+02,-,0.69,0
YMR125W,Both,1.13E+04,-,0.85,0
YMR126C,TAP,1.20E+03,-,0.56,0
YMR127C,Both,%,-,0.31,0
YMR128W,Both,2.00E+03,-,0.88,0
YMR129W,Both,3.41E+03,-,0.79,0
YMR130W,None,-,-,0.62,0
YMR131C,GFP,-,-,0.85,0
YMR132C,Both,3.06E+03,-,0.59,0
YMR133W,None,-,-,0.59,0
YMR134W,Both,2.95E+03,-,0.55,0
YMR135C,Both,6.39E+02,-,0.42,0
YMR135W-A,None,-,-,-0.04,1
YMR136W,None,-,-,0.48,0
YMR137C,Both,2.59E+02,-,0.63,0
YMR138W,Both,4.68E+02,-,0.28,0
YMR139W,Both,6.99E+03,-,0.62,0
YMR140W,Both,5.56E+02,-,0.69,0
YMR141C,None,-,-,0.16,1
YMR142C,Both,5.42E+04,-,0.56,0
YMR143W,Both,3.38E+04,-,0.62,0
YMR144W,Both,2.12E+03,-,0.48,0
YMR145C,Both,4.93E+03,-,0.76,0
YMR146C,TAP,2.40E+03,2.82E+02,0.7,0
YMR147W,None,-,-,0.55,0
YMR148W,Both,9.22E+02,-,0.33,0
YMR149W,Both,8.45E+03,-,0.59,0
YMR150C,None,-,-,0.34,0
YMR151W,None,-,-,0.05,1
YMR152W,Both,6.54E+03,-,0.65,0
YMR153C-A,None,-,-,0.27,0
YMR153W,Both,2.06E+03,-,0.64,0
YMR154C,TAP,4.32E+02,-,0.58,0
YMR155W,None,-,-,0.42,0
YMR156C,None,-,-,0.55,0
YMR157C,Both,1.71E+03,-,0.61,0
YMR158C-B,None,-,-,0.26,0
YMR158W,None,-,-,0.29,0
YMR158W-A,None,-,-,0.03,1
YMR159C,Both,5.73E+02,-,0.63,0
YMR160W,Both,2.79E+02,-,0.6,0
YMR161W,Both,1.84E+03,-,0.6,0
YMR162C,Both,%,-,0.86,0
YMR163C,Both,7.36E+02,-,0.62,0
YMR164C,Both,%,-,0.4,0
YMR165C,Both,3.91E+03,-,0.76,0
YMR166C,Both,2.06E+03,-,0.51,0
YMR167W,Both,3.19E+02,-,0.75,0
YMR168C,Both,1.90E+03,1.40E+02,0.59,0
YMR169C,Both,1.72E+02,-,0.77,0
YMR170C,Both,2.07E+03,-,0.72,0
YMR171C,Both,6.56E+02,-,0.65,0
YMR172C-A,None,-,-,0.01,1
YMR172W,Both,1.49E+02,-,0.61,0
YMR173W,Both,%,-,0.41,0
YMR173W-A,None,-,-,0.01,0
YMR174C,Both,%,-,0.48,0
YMR175W,Both,2.30E+03,-,0.48,0
YMR176W,Both,2.59E+02,-,0.77,0
YMR177W,Both,6.49E+03,-,0.67,0
YMR178W,Both,3.89E+03,-,0.68,0
YMR179W,Both,%,-,0.71,0
YMR180C,None,-,-,0.55,0
YMR181C,TAP,7.21E+02,-,0.38,0
YMR182C,Both,1.23E+03,-,0.23,0
YMR183C,Both,1.72E+03,-,0.7,0
YMR184W,Both,1.27E+03,-,0.54,0
YMR185W,None,-,-,0.73,0
YMR186W,Both,1.32E+05,-,0.83,0
YMR187C,None,-,-,0.29,0
YMR188C,Both,2.81E+03,-,0.61,0
YMR189W,Both,1.20E+04,-,0.77,0
YMR190C,GFP,-,-,0.85,0
YMR191W,None,-,-,0.48,0
YMR192W,Both,2.01E+03,-,0.76,0
YMR193C-A,None,-,-,-0.04,1
YMR193W,Both,4.01E+03,-,0.65,0
YMR194C-A,None,-,-,0.15,1
YMR194W,Both,3.16E+04,-,0.51,0
YMR195W,Both,4.05E+03,-,0.33,0
YMR196W,Both,2.22E+03,-,0.84,0
YMR197C,None,-,-,0.55,0
YMR198W,Both,9.89E+01,-,0.67,0
YMR199W,Both,3.19E+02,-,0.68,0
YMR200W,Both,2.36E+03,-,0.61,0
YMR201C,Both,1.03E+03,-,0.68,0
YMR202W,Both,2.64E+03,-,0.57,0
YMR203W,None,-,-,0.7,0
YMR204C,Both,6.39E+02,-,0.53,0
YMR205C,Both,9.02E+04,-,0.71,0
YMR206W,None,-,-,0.29,0
YMR207C,Both,3.96E+02,-,0.86,0
YMR208W,Both,3.30E+03,2.81E+02,0.73,0
YMR209C,Both,9.81E+02,-,0.56,0
YMR210W,None,-,-,0.6,0
YMR211W,None,-,-,0.68,0
YMR212C,Both,1.67E+03,-,0.69,0
YMR213W,Both,7.84E+02,-,0.7,0
YMR214W,Both,8.26E+03,-,0.56,0
YMR215W,Both,1.64E+04,-,0.71,0
YMR216C,Both,2.42E+03,-,0.78,0
YMR217W,None,-,-,0.73,0
YMR218C,Both,4.32E+02,-,0.74,0
YMR219W,GFP,-,-,0.75,0
YMR220W,Both,7.97E+01,1.00E+01,0.73,0
YMR221C,GFP,-,-,0.58,0
YMR222C,Both,1.07E+03,-,0.46,0
YMR223W,Both,1.03E+03,-,0.5,0
YMR224C,Both,4.32E+02,-,0.78,0
YMR225C,Both,1.56E+03,-,0.41,0
YMR226C,Both,3.21E+03,-,0.69,0
YMR227C,Both,1.05E+03,-,0.72,0
YMR228W,TAP,9.38E+03,-,0.65,0
YMR229C,Both,8.86E+03,-,0.89,0
YMR230W,Both,7.65E+03,-,0.55,0
YMR231W,Both,1.20E+03,-,0.79,0
YMR232W,GFP,-,-,0.62,0
YMR233W,Both,2.36E+03,-,0.6,0
YMR234W,Both,1.49E+02,-,0.62,0
YMR235C,Both,5.22E+04,1.12E+04,0.78,0
YMR236W,Both,6.58E+03,-,0.37,0
YMR237W,Both,3.46E+03,-,0.77,0
YMR238W,Both,2.95E+03,-,0.54,0
YMR239C,Both,4.97E+03,1.24E+02,0.8,0
YMR240C,Both,1.83E+03,6.09E+01,0.71,0
YMR241W,Both,2.93E+03,-,0.57,0
YMR242C,Both,5.43E+04,-,0.52,0
YMR243C,Both,8.20E+03,-,0.65,0
YMR244C-A,Both,7.21E+02,-,0.38,0
YMR244W,None,-,-,0.48,0
YMR245W,None,-,-,-0.05,1
YMR246W,Both,3.12E+04,-,0.77,0
YMR247C,TAP,2.22E+02,-,0.79,0
YMR250W,Both,1.20E+03,-,0.83,0
YMR251W,None,-,-,0.31,0
YMR251W-A,Both,6.14E+03,-,0.42,0
YMR252C,Both,1.72E+02,-,0.22,0
YMR253C,GFP,-,-,0.5,0
YMR254C,None,-,-,-0.1,1
YMR255W,Both,2.73E+03,-,0.58,0
YMR256C,Both,6.39E+02,-,0.31,0
YMR257C,Both,5.38E+02,-,0.6,0
YMR258C,Both,3.08E+03,-,0.6,0
YMR259C,Both,7.11E+03,-,0.77,0
YMR260C,Both,3.51E+04,-,0.75,0
YMR261C,Both,1.35E+04,-,0.85,0
YMR262W,TAP,1.25E+02,-,0.48,0
YMR263W,Both,7.04E+02,-,0.34,0
YMR264W,Both,5.89E+02,-,0.61,0
YMR265C,None,-,-,0.39,0
YMR266W,Both,%,-,0.78,0
YMR267W,Both,1.95E+02,-,0.67,0
YMR268C,Both,6.72E+02,-,0.66,0
YMR269W,Both,#,-,0.42,0
YMR270C,Both,%,-,0.69,0
YMR271C,Both,8.15E+02,-,0.59,0
YMR272C,Both,3.29E+03,-,0.59,0
YMR273C,Both,2.79E+02,-,0.72,0
YMR274C,None,-,-,0.11,0
YMR275C,Both,4.86E+02,-,0.73,0
YMR276W,Both,3.93E+03,-,0.48,0
YMR277W,Both,6.55E+03,5.86E+02,0.74,0
YMR278W,Both,4.96E+03,-,0.79,0
YMR279C,None,-,-,0.35,0
YMR280C,Both,%,-,0.74,0
YMR281W,Both,#,-,0.58,0
YMR282C,Both,2.68E+03,-,0.53,0
YMR283C,Both,2.59E+02,-,0.69,0
YMR284W,Both,8.92E+02,-,0.72,0
YMR285C,Both,3.57E+03,-,0.81,0
YMR286W,Both,1.20E+03,-,0.31,0
YMR287C,Both,1.07E+03,-,0.63,0
YMR288W,Both,5.21E+02,-,0.77,0
YMR289W,Both,7.68E+02,-,0.64,0
YMR290C,None,-,-,0.82,0
YMR290W-A,TAP,2.17E+02,-,0.2,0
YMR291W,Both,1.02E+04,-,0.75,0
YMR292W,GFP,-,-,0.29,0
YMR293C,Both,4.86E+02,-,0.58,0
YMR294W,None,-,-,0.66,0
YMR294W-A,None,-,-,0.09,1
YMR295C,Both,1.08E+04,-,0.68,0
YMR296C,Both,2.24E+04,-,0.48,0
YMR297W,Both,4.40E+04,-,0.65,0
YMR298W,None,-,-,0.46,0
YMR299C,Both,1.17E+03,-,0.57,0
YMR300C,Both,1.87E+04,-,0.77,0
YMR301C,Both,3.25E+03,4.83E+02,0.64,0
YMR302C,Both,5.26E+03,-,0.84,0
YMR303C,Both,1.62E+03,-,0.61,0
YMR304C-A,None,-,-,-0.04,1
YMR304W,Both,2.81E+03,-,0.84,0
YMR305C,Both,1.05E+04,-,0.57,0
YMR306C-A,None,-,-,-0.04,1
YMR306W,None,-,-,0.67,0
YMR307W,Both,1.24E+04,-,0.66,0
YMR308C,Both,1.55E+04,-,0.82,0
YMR309C,Both,7.89E+04,6.15E+03,0.82,0
YMR310C,Both,2.54E+03,-,0.36,0
YMR311C,Both,3.44E+03,-,0.63,0
YMR312W,None,-,-,0.4,0
YMR313C,Both,3.21E+03,-,0.69,0
YMR314W,Both,7.21E+03,-,0.49,0
YMR315W,Both,9.60E+03,-,0.74,0
YMR316C-A,None,-,-,-0.04,1
YMR316C-B,None,-,-,0.15,1
YMR316W,TAP,7.36E+02,-,0.55,0
YMR317W,None,-,-,0.26,0
YMR318C,Both,2.17E+04,-,0.65,0
YMR319C,Both,5.73E+02,-,0.66,0
YMR320W,None,-,-,0.1,1
YMR321C,None,-,-,0.51,0
YMR322C,TAP,%,-,0.61,0
YMR323W,None,-,-,0.65,0
YMR324C,None,-,-,0.29,0
YMR325W,None,-,-,0.5,0
YMR326C,None,-,-,-0.05,1
YNL001W,Both,1.72E+03,-,0.73,0
YNL002C,TAP,7.72E+03,-,0.78,0
YNL003C,Both,5.21E+02,-,0.44,0
YNL004W,Both,1.99E+03,-,0.54,0
YNL005C,Both,2.29E+03,-,0.65,0
YNL006W,Both,5.89E+02,-,0.37,0
YNL007C,Both,2.03E+04,-,0.57,0
YNL008C,Both,%,-,0.61,0
YNL009W,TAP,#,-,0.75,0
YNL010W,Both,1.26E+04,-,0.75,0
YNL011C,TAP,1.10E+03,-,0.7,0
YNL012W,None,-,-,0.65,0
YNL013C,None,-,-,-0.06,1
YNL014W,TAP,1.25E+02,-,0.85,0
YNL015W,Both,#,-,0.52,0
YNL016W,Both,4.96E+04,-,0.64,0
YNL017C,None,-,-,-0.11,1
YNL018C,None,-,-,0.42,0
YNL019C,None,-,-,0.22,0
YNL020C,Both,1.55E+03,-,0.66,0
YNL021W,Both,3.05E+03,-,0.81,0
YNL022C,Both,9.22E+02,-,0.72,0
YNL023C,TAP,5.89E+02,-,0.41,0
YNL024C,Both,1.76E+03,-,0.66,0
YNL025C,Both,#,-,0.48,0
YNL026W,None,-,-,0.54,0
YNL027W,Both,1.16E+03,-,0.66,0
YNL028W,None,-,-,0,1
YNL029C,TAP,4.50E+02,-,0.41,0
YNL030W,Both,6.81E+05,-,0.48,0
YNL031C,Both,2.48E+05,-,0.59,0
YNL032W,Both,4.07E+03,-,0.52,0
YNL033W,TAP,3.96E+02,-,0.22,0
YNL034W,None,-,-,0.39,0
YNL035C,Both,3.97E+03,-,0.72,0
YNL036W,Both,2.33E+03,-,0.51,0
YNL037C,Both,1.05E+04,-,0.7,0
YNL038W,None,-,-,0.22,0
YNL039W,Both,%,-,0.81,0
YNL040W,Both,1.47E+03,-,0.76,0
YNL041C,Both,1.72E+03,-,0.75,0
YNL042W,GFP,-,-,0.55,0
YNL043C,None,-,-,0.22,1
YNL044W,Both,5.50E+03,-,0.54,0
YNL045W,Both,5.59E+03,-,0.81,0
YNL046W,Both,7.04E+02,-,0,0
YNL047C,TAP,2.61E+03,-,0.57,0
YNL048W,Both,3.14E+03,-,0.64,0
YNL049C,Both,1.72E+03,-,0.78,0
YNL050C,None,-,-,0.68,0
YNL051W,Both,4.68E+02,-,0.64,0
YNL052W,Both,3.67E+03,-,0.54,0
YNL053W,Both,5.38E+02,-,0.45,0
YNL054W,None,-,-,0.67,0
YNL055C,Both,#,-,0.62,0
YNL056W,Both,4.53E+03,-,0.37,0
YNL057W,None,-,-,0.42,0
YNL058C,Both,%,-,0.66,0
YNL059C,Both,2.17E+03,-,0.83,0
YNL061W,Both,1.87E+04,2.46E+03,0.89,0
YNL062C,Both,2.58E+03,5.60E+01,0.82,0
YNL063W,Both,1.32E+04,-,0.39,0
YNL064C,Both,1.19E+05,-,0.7,0
YNL065W,GFP,-,-,0.57,0
YNL066W,Both,2.47E+04,-,0.57,0
YNL067W,Both,7.60E+04,-,0.55,0
YNL067W-A,None,-,-,0.02,1
YNL068C,Both,6.56E+02,-,0.58,0
YNL069C,None,-,-,0.58,0
YNL070W,Both,3.25E+03,-,0.22,0
YNL071W,Both,5.44E+03,-,0.72,0
YNL072W,Both,6.23E+02,-,0.37,0
YNL073W,Both,2.28E+03,-,0.54,0
YNL074C,GFP,-,-,0.38,0
YNL075W,None,-,-,0.68,0
YNL076W,GFP,-,-,0.63,0
YNL077W,Both,1.25E+02,-,0.66,0
YNL078W,Both,5.04E+02,-,0.2,0
YNL079C,TAP,3.06E+03,-,0.62,0
YNL080C,TAP,9.37E+02,-,0.47,0
YNL081C,Both,2.59E+02,-,0.4,0
YNL082W,Both,5.21E+02,-,0.76,0
YNL083W,Both,1.17E+03,-,0.53,0
YNL084C,Both,2.61E+03,-,0.73,0
YNL085W,Both,3.43E+03,-,0.86,0
YNL086W,Both,1.95E+02,-,0.3,0
YNL087W,Both,2.63E+03,-,0.83,0
YNL088W,Both,5.73E+03,-,0.88,0
YNL089C,None,-,-,0.21,0
YNL090W,Both,3.87E+03,-,0.67,0
YNL091W,Both,2.17E+02,-,0.74,0
YNL092W,TAP,9.52E+02,-,0.55,0
YNL093W,TAP,8.30E+02,-,0.61,0
YNL094W,Both,2.29E+03,-,0.7,0
YNL095C,Both,%,-,0.62,0
YNL096C,Both,4.35E+04,-,0.62,0
YNL097C,Both,3.25E+03,-,0.47,0
YNL098C,Both,1.98E+04,-,0.67,0
YNL099C,Both,2.31E+03,-,0.62,0
YNL100W,Both,5.46E+03,-,0.49,0
YNL101W,TAP,%,-,0.54,0
YNL102W,Both,1.05E+03,-,0.85,0
YNL103W,Both,1.30E+03,-,0.58,0
YNL104C,Both,6.63E+03,-,0.77,0
YNL105W,None,-,-,0.29,0
YNL106C,Both,%,-,0.81,0
YNL107W,Both,2.59E+02,-,0.66,0
YNL108C,Both,1.95E+03,-,0.66,0
YNL109W,TAP,%,-,0.17,0
YNL110C,Both,4.28E+03,-,0.75,0
YNL111C,Both,5.39E+03,-,0.71,0
YNL112W,Both,3.31E+04,8.47E+03,0.66,0
YNL113W,Both,8.68E+03,-,0.69,0
YNL114C,None,-,-,-0.04,1
YNL115C,GFP,-,-,0.58,0
YNL116W,Both,1.75E+03,-,0.61,0
YNL117W,None,-,-,0.75,0
YNL118C,Both,8.53E+03,-,0.74,0
YNL119W,Both,2.86E+03,-,0.72,0
YNL120C,None,-,-,0.12,1
YNL121C,Both,4.53E+04,-,0.85,0
YNL122C,Both,%,-,0.18,0
YNL123W,Both,3.15E+03,-,0.79,0
YNL124W,Both,1.81E+03,-,0.67,0
YNL125C,GFP,-,-,0.58,0
YNL126W,Both,5.69E+01,-,0.63,0
YNL127W,Both,1.08E+03,-,0.76,0
YNL128W,None,-,-,0.64,0
YNL129W,Both,1.46E+03,-,0.59,0
YNL130C,Both,9.81E+02,-,0.35,0
YNL131W,Both,6.61E+03,-,0.79,0
YNL132W,Both,%,-,0.88,0
YNL133C,Both,4.68E+02,-,0.57,0
YNL134C,Both,3.49E+03,-,0.72,0
YNL135C,Both,4.33E+04,-,0.53,0
YNL136W,Both,3.00E+02,-,0.69,0
YNL137C,Both,3.27E+03,-,0.77,0
YNL138W,Both,8.76E+03,-,0.85,0
YNL139C,Both,5.21E+02,-,0.87,0
YNL140C,TAP,1.59E+03,-,0.15,0
YNL141W,Both,2.07E+04,-,0.79,0
YNL142W,Both,#,-,0.5,0
YNL143C,Both,2.38E+02,-,0.35,0
YNL144C,None,-,-,0.55,0
YNL145W,None,-,-,0.36,0
YNL146W,GFP,-,-,0.12,0
YNL147W,Both,3.07E+03,-,0.57,0
YNL148C,Both,6.56E+02,-,0.44,0
YNL149C,GFP,-,-,0.74,0
YNL150W,None,-,-,0.18,1
YNL151C,None,-,-,0.66,0
YNL152W,Both,#,-,0.56,0
YNL153C,Both,7.47E+03,-,0.52,0
YNL154C,Both,6.16E+03,-,0.66,0
YNL155W,Both,4.28E+03,-,0.69,0
YNL156C,Both,3.39E+03,-,0.44,0
YNL157W,Both,%,-,0.38,0
YNL158W,Both,6.94E+03,-,0.24,0
YNL159C,None,-,-,0.42,0
YNL160W,None,-,-,0.58,0
YNL161W,Both,4.50E+02,-,0.56,0
YNL162W,Both,1.36E+04,-,0.42,0
YNL162W-A,Both,3.96E+02,-,0.24,0
YNL163C,Both,7.77E+03,-,0.87,0
YNL164C,GFP,-,-,0.68,0
YNL165W,None,-,-,0.45,0
YNL166C,GFP,-,-,0.74,0
YNL167C,Both,5.04E+02,-,0.45,0
YNL168C,Both,2.55E+03,-,0.62,0
YNL169C,Both,1.08E+03,-,0.69,0
YNL170W,None,-,-,0.14,1
YNL171C,None,-,-,0.05,1
YNL172W,Both,1.78E+02,-,0.83,0
YNL173C,Both,1.24E+03,-,0.68,0
YNL174W,None,-,-,0.16,1
YNL175C,Both,3.83E+03,-,0.82,0
YNL176C,GFP,-,-,0.16,0
YNL177C,Both,1.81E+03,-,0.51,0
YNL178W,TAP,1.46E+05,-,0.59,0
YNL179C,None,-,-,-0.23,1
YNL180C,Both,2.18E+03,-,0.67,0
YNL181W,Both,1.39E+04,-,0.73,0
YNL182C,None,-,-,0.79,0
YNL183C,Both,2.84E+02,-,0.57,0
YNL184C,TAP,6.23E+02,-,-0.06,0
YNL185C,Both,3.19E+03,-,0.42,0
YNL186W,Both,%,-,0.86,0
YNL187W,TAP,%,-,0.19,0
YNL188W,None,-,-,0.49,0
YNL189W,Both,2.79E+03,3.50E+01,0.81,0
YNL190W,Both,1.38E+03,-,0.36,0
YNL191W,Both,7.30E+03,-,0.61,0
YNL192W,None,-,-,0.74,0
YNL193W,None,-,-,0.78,0
YNL194C,GFP,-,-,0.24,0
YNL195C,None,-,-,0.48,0
YNL196C,None,-,-,0.66,0
YNL197C,Both,5.73E+03,-,0.49,0
YNL198C,GFP,-,-,-0.01,0
YNL199C,None,-,-,0.5,0
YNL200C,Both,1.38E+03,-,0.51,0
YNL201C,Both,7.01E+03,-,0.71,0
YNL202W,None,-,-,0.6,0
YNL203C,None,-,-,0.26,0
YNL204C,None,-,-,0.56,0
YNL205C,None,-,-,-0.16,1
YNL206C,Both,1.11E+04,-,0.81,0
YNL207W,Both,1.03E+04,-,0.75,0
YNL208W,None,-,-,0.39,0
YNL209W,Both,1.04E+05,-,0.72,0
YNL210W,None,-,-,0.48,0
YNL211C,Both,%,-,0.31,0
YNL212W,Both,3.50E+03,-,0.87,0
YNL213C,Both,1.16E+03,-,0.49,0
YNL214W,Both,6.56E+02,-,0.45,0
YNL215W,Both,1.47E+03,-,0.72,0
YNL216W,Both,4.39E+03,9.09E+02,0.78,0
YNL217W,Both,%,-,0.51,0
YNL218W,Both,1.18E+03,-,0.75,0
YNL219C,Both,#,-,0.46,0
YNL220W,Both,5.68E+04,-,0.69,0
YNL221C,Both,8.46E+02,-,0.68,0
YNL222W,None,-,-,0.6,0
YNL223W,Both,3.30E+03,-,0.6,0
YNL224C,Both,1.44E+03,-,0.82,0
YNL225C,Both,#,-,0.75,0
YNL226W,None,-,-,0,1
YNL227C,Both,2.31E+03,-,0.75,0
YNL228W,None,-,-,0.18,0
YNL229C,Both,7.06E+03,-,0.56,0
YNL230C,Both,8.15E+02,-,0.42,0
YNL231C,Both,1.54E+04,-,0.75,0
YNL232W,Both,5.55E+03,-,0.65,0
YNL233W,Both,%,-,0.74,0
YNL234W,Both,1.95E+02,-,0.59,0
YNL235C,None,-,-,0.1,1
YNL236W,Both,1.72E+03,-,0.7,0
YNL237W,None,-,-,0.31,0
YNL238W,Both,%,-,0.78,0
YNL239W,Both,5.21E+02,-,0.71,0
YNL240C,None,-,-,0.2,0
YNL241C,Both,1.50E+04,-,0.56,0
YNL242W,Both,8.76E+02,-,0.77,0
YNL243W,Both,4.06E+04,-,0.6,0
YNL244C,None,-,-,0.6,0
YNL245C,Both,8.61E+02,-,0.56,0
YNL246W,Both,3.12E+03,-,0.53,0
YNL247W,Both,2.30E+04,-,0.9,0
YNL248C,Both,%,-,0.78,0
YNL249C,TAP,1.05E+03,-,0.73,0
YNL250W,Both,8.30E+02,-,0.78,0
YNL251C,Both,1.96E+04,2.25E+03,0.66,0
YNL252C,Both,7.43E+03,-,0.67,0
YNL253W,None,-,-,0.59,0
YNL254C,Both,7.99E+02,-,0.68,0
YNL255C,Both,9.67E+04,-,0.37,0
YNL256W,Both,4.59E+03,7.08E+02,0.74,0
YNL257C,Both,4.32E+02,-,0.76,0
YNL258C,Both,8.97E+03,-,0.77,0
YNL259C,GFP,-,-,0.5,0
YNL260C,TAP,7.84E+02,-,0.62,0
YNL261W,Both,7.68E+02,1.63E+02,0.74,0
YNL262W,Both,1.97E+03,-,0.89,0
YNL263C,None,-,-,0.4,0
YNL264C,Both,5.04E+03,-,0.72,0
YNL265C,Both,4.76E+03,-,0.67,0
YNL266W,None,-,-,0.11,1
YNL267W,Both,1.60E+03,-,0.88,0
YNL268W,Both,2.58E+03,-,0.63,0
YNL269W,None,-,-,-0.08,1
YNL270C,None,-,-,0.49,0
YNL271C,Both,1.66E+02,-,0.87,0
YNL272C,Both,1.32E+04,1.31E+03,0.77,0
YNL273W,Both,9.52E+02,-,0.89,0
YNL274C,Both,3.28E+03,-,0.75,0
YNL275W,Both,1.95E+02,-,0.46,0
YNL276C,None,-,-,0.18,1
YNL277W,Both,2.24E+03,-,0.64,0
YNL278W,Both,1.38E+03,-,0.67,0
YNL279W,Both,%,-,0.46,0
YNL280C,Both,1.60E+03,-,0.45,0
YNL281W,Both,8.53E+03,-,0.52,0
YNL282W,Both,1.36E+03,-,0.13,0
YNL283C,Both,%,-,0.28,0
YNL284C,Both,5.35E+03,-,0.59,0
YNL285W,None,-,-,0.08,1
YNL286W,Both,1.36E+03,-,0.67,0
YNL287W,Both,7.79E+04,-,0.85,0
YNL288W,Both,1.88E+04,-,0.49,0
YNL289W,TAP,6.06E+02,-,0.27,0
YNL290W,Both,3.14E+03,2.61E+02,0.53,0
YNL291C,TAP,3.21E+03,-,0.52,0
YNL292W,Both,3.99E+03,-,0.79,0
YNL293W,Both,1.78E+02,-,0.67,0
YNL294C,None,-,-,0.51,0
YNL295W,TAP,5.04E+02,-,0.52,0
YNL296W,None,-,-,0.08,1
YNL297C,Both,2.41E+03,-,0.74,0
